support,itemsets
0.028,"go, im"
0.037,"im, one"
0.035,"im, would"
0.029,"im, try"
0.02,"come, im"
0.02,"im, restaurant"
0.04,"get, im"
0.025,"im, nice"
0.022,"even, im"
0.02,"could, im"
0.021,"dont, im"
0.039,"food, im, place"
0.038,"food, good, im"
0.029,"food, good, im, place"
0.023,"food, im, time"
0.026,"good, im, time"
0.026,"im, place, time"
0.024,"food, im, like"
0.029,"good, im, like"
0.029,"im, like, place"
0.021,"good, im, like, place"
0.022,"back, food, im"
0.023,"back, good, im"
0.023,"back, im, place"
0.02,"back, great, im"
0.02,"im, love, place"
0.041,"good, im, place"
0.029,"great, im, place"
0.026,"food, great, im"
0.021,"good, great, im"
0.021,"food, great, im, place"
0.023,"food, im, really"
0.023,"im, place, really"
0.022,"good, im, really"
0.02,"im, place, well"
0.022,"food, im, service"
0.022,"im, place, service"
0.025,"im, one, place"
0.021,"good, im, one"
0.02,"food, im, one"
0.023,"im, place, would"
0.02,"good, im, would"
0.023,"im, place, try"
0.021,"good, im, try"
0.026,"get, good, im"
0.026,"get, im, place"
0.025,"get, im, like"
0.02,"food, get, im"
0.021,"get, im, time"
0.058,"food, ordered"
0.038,"ordered, time"
0.037,"like, ordered"
0.035,"back, ordered"
0.028,"also, ordered"
0.027,"im, ordered"
0.024,"got, ordered"
0.061,"good, ordered"
0.046,"ordered, place"
0.038,"great, ordered"
0.029,"ordered, really"
0.02,"ordered, well"
0.024,"come, ordered"
0.022,"ordered, u"
0.022,"nice, ordered"
0.021,"ordered, restaurant"
0.036,"get, ordered"
0.032,"ordered, would"
0.03,"one, ordered"
0.029,"order, ordered"
0.026,"little, ordered"
0.022,"ordered, try"
0.021,"delicious, ordered"
0.036,"ordered, service"
0.025,"even, ordered"
0.023,"ordered, thing"
0.02,"go, ordered"
0.028,"didnt, ordered"
0.025,"could, ordered"
0.031,"came, ordered"
0.021,"first, ordered"
0.038,"food, good, ordered"
0.023,"food, ordered, time"
0.025,"good, ordered, time"
0.024,"food, like, ordered"
0.024,"good, like, ordered"
0.02,"back, food, ordered"
0.025,"back, good, ordered"
0.021,"also, good, ordered"
0.02,"good, im, ordered"
0.029,"good, ordered, place"
0.027,"food, ordered, place"
0.024,"food, great, ordered"
0.021,"great, ordered, place"
0.026,"get, good, ordered"
0.025,"food, get, ordered"
0.023,"get, ordered, time"
0.023,"get, like, ordered"
0.022,"good, ordered, would"
0.021,"food, ordered, would"
0.023,"good, one, ordered"
0.02,"good, little, ordered"
0.024,"food, ordered, service"
0.022,"good, ordered, service"
0.024,"came, good, ordered"
0.021,"came, food, ordered"
0.02,"came, get, ordered"
0.02,"came, like, ordered"
0.049,"know, time"
0.037,"know, like"
0.034,"food, know"
0.031,"back, know"
0.03,"know, make"
0.026,"im, know"
0.024,"know, love"
0.021,"got, know"
0.02,"friendly, know"
0.037,"know, really"
0.046,"know, place"
0.038,"go, know"
0.037,"great, know"
0.024,"didnt, know"
0.023,"know, service"
0.044,"good, know"
0.03,"come, know"
0.022,"even, know"
0.02,"always, know"
0.024,"know, restaurant"
0.023,"know, people"
0.024,"know, u"
0.02,"know, went"
0.044,"get, know"
0.039,"know, one"
0.029,"dont, know"
0.028,"know, well"
0.021,"know, never"
0.021,"know, little"
0.02,"know, made"
0.026,"first, know"
0.023,"could, know"
0.031,"know, would"
0.023,"know, like, time"
0.026,"get, know, like"
0.023,"know, like, place"
0.02,"know, like, one"
0.021,"food, know, time"
0.023,"food, know, place"
0.021,"food, know, really"
0.02,"food, get, know"
0.021,"know, really, time"
0.023,"know, place, really"
0.02,"go, know, really"
0.021,"get, know, really"
0.02,"know, one, really"
0.028,"know, place, time"
0.022,"go, know, place"
0.02,"go, know, time"
0.021,"great, know, place"
0.026,"good, know, place"
0.026,"good, know, time"
0.022,"get, good, know"
0.022,"come, know, place"
0.02,"come, get, know"
0.023,"get, know, place"
0.027,"get, know, time"
0.024,"get, know, one"
0.022,"good, know, one"
0.021,"know, one, time"
0.02,"dont, know, time"
0.02,"get, know, would"
0.042,"bar, food"
0.029,"bar, time"
0.025,"bar, like"
0.022,"back, bar"
0.021,"bar, got"
0.021,"also, bar"
0.04,"bar, good"
0.033,"bar, great"
0.029,"bar, drink"
0.028,"bar, service"
0.023,"bar, restaurant"
0.023,"bar, go"
0.043,"bar, place"
0.026,"bar, would"
0.026,"bar, get"
0.026,"bar, one"
